date,ages,admissions_m,admissions_f,admissions_total
2020-11-07,80+,1554,1888,3442
2020-11-07,70-79,2003,1900,3903
2020-11-07,60-69,2069,1737,3806
2020-11-07,50-59,1519,1374,2893
2020-11-07,40-49,909,869,1778
2020-11-07,30-39,503,674,1177
2020-11-07,20-29,264,556,820
2020-11-07,5-19,67,111,178
2020-11-07,0-4,31,32,63
2020-11-08,80+,1573,1913,3486
2020-11-08,70-79,2036,1931,3967
2020-11-08,60-69,2099,1753,3852
2020-11-08,50-59,1537,1390,2927
2020-11-08,40-49,918,876,1794
2020-11-08,30-39,508,680,1188
2020-11-08,20-29,268,562,830
2020-11-08,5-19,68,113,181
2020-11-08,0-4,32,33,65
2020-11-09,80+,1596,1943,3539
2020-11-09,70-79,2057,1962,4019
2020-11-09,60-69,2130,1784,3914
2020-11-09,50-59,1561,1405,2966
2020-11-09,40-49,929,889,1818
2020-11-09,30-39,517,691,1208
2020-11-09,20-29,272,574,846
2020-11-09,5-19,68,114,182
2020-11-09,0-4,32,32,64
2020-11-11,80+,1621,1968,3589
2020-11-11,70-79,2088,1988,4076
2020-11-11,60-69,2173,1809,3982
2020-11-11,50-59,1571,1428,2999
2020-11-11,40-49,938,897,1835
2020-11-11,30-39,521,700,1221
2020-11-11,20-29,274,587,861
2020-11-11,5-19,69,116,185
2020-11-11,0-4,33,32,65
2020-11-12,80+,1694,2032,3726
2020-11-12,70-79,2188,2084,4272
2020-11-12,60-69,2263,1899,4162
2020-11-12,50-59,1624,1484,3108
2020-11-12,40-49,986,927,1913
2020-11-12,30-39,529,726,1255
2020-11-12,20-29,279,609,888
2020-11-12,5-19,71,116,187
2020-11-12,0-4,34,35,69
2020-11-13,80+,1732,2065,3797
2020-11-13,70-79,2219,2119,4338
2020-11-13,60-69,2298,1918,4216
2020-11-13,50-59,1648,1501,3149
2020-11-13,40-49,994,939,1933
2020-11-13,30-39,534,732,1266
2020-11-13,20-29,287,616,903
2020-11-13,5-19,74,116,190
2020-11-13,0-4,35,37,72
2020-11-14,80+,1756,2098,3854
2020-11-14,70-79,2276,2156,4432
2020-11-14,60-69,2327,1947,4274
2020-11-14,50-59,1669,1513,3182
2020-11-14,40-49,1011,951,1962
2020-11-14,30-39,538,743,1281
2020-11-14,20-29,293,635,928
2020-11-14,5-19,75,118,193
2020-11-14,0-4,37,37,74
2020-11-16,80+,1806,2126,3932
2020-11-16,70-79,2312,2185,4497
2020-11-16,60-69,2359,1976,4335
2020-11-16,50-59,1695,1538,3233
2020-11-16,40-49,1019,962,1981
2020-11-16,30-39,548,761,1309
2020-11-16,20-29,297,647,944
2020-11-16,5-19,75,120,195
2020-11-16,0-4,38,37,75
2020-11-17,80+,1835,2156,3991
2020-11-17,70-79,2360,2226,4586
2020-11-17,60-69,2401,2010,4411
2020-11-17,50-59,1720,1562,3282
2020-11-17,40-49,1033,976,2009
2020-11-17,30-39,557,772,1329
2020-11-17,20-29,296,657,953
2020-11-17,5-19,76,122,198
2020-11-17,0-4,38,37,75
2020-11-19,80+,1906,2232,4138
2020-11-19,70-79,2469,2298,4767
2020-11-19,60-69,2496,2075,4571
2020-11-19,50-59,1782,1614,3396
2020-11-19,40-49,1058,1004,2062
2020-11-19,30-39,578,802,1380
2020-11-19,20-29,311,683,994
2020-11-19,5-19,76,130,206
2020-11-19,0-4,38,38,76
2020-11-20,80+,1933,2277,4210
2020-11-20,70-79,2524,2328,4852
2020-11-20,60-69,2533,2104,4637
2020-11-20,50-59,1821,1638,3459
2020-11-20,40-49,1070,1009,2079
2020-11-20,30-39,587,818,1405
2020-11-20,20-29,311,694,1005
2020-11-20,5-19,78,132,210
2020-11-20,0-4,39,39,78
2020-11-22,80+,1998,2359,4357
2020-11-22,70-79,2608,2398,5006
2020-11-22,60-69,2614,2162,4776
2020-11-22,50-59,1876,1680,3556
2020-11-22,40-49,1096,1034,2130
2020-11-22,30-39,600,842,1442
2020-11-22,20-29,324,719,1043
2020-11-22,5-19,84,141,225
2020-11-22,0-4,40,42,82
2020-11-23,80+,2018,2386,4404
2020-11-23,70-79,2660,2440,5100
2020-11-23,60-69,2637,2194,4831
2020-11-23,50-59,1903,1698,3601
2020-11-23,40-49,1100,1047,2147
2020-11-23,30-39,607,854,1461
2020-11-23,20-29,330,727,1057
2020-11-23,5-19,84,143,227
2020-11-23,0-4,41,43,84
2020-11-24,80+,2044,2417,4461
2020-11-24,70-79,2702,2489,5191
2020-11-24,60-69,2669,2244,4913
2020-11-24,50-59,1932,1720,3652
2020-11-24,40-49,1113,1064,2177
2020-11-24,30-39,619,867,1486
2020-11-24,20-29,328,738,1066
2020-11-24,5-19,87,146,233
2020-11-24,0-4,41,43,84
2020-11-26,80+,2097,2494,4591
2020-11-26,70-79,2774,2570,5344
2020-11-26,60-69,2752,2312,5064
2020-11-26,50-59,1984,1762,3746
2020-11-26,40-49,1145,1103,2248
2020-11-26,30-39,629,887,1516
2020-11-26,20-29,330,768,1098
2020-11-26,5-19,92,154,246
2020-11-26,0-4,46,46,92
2020-11-27,80+,2134,2527,4661
2020-11-27,70-79,2814,2611,5425
2020-11-27,60-69,2781,2352,5133
2020-11-27,50-59,2016,1780,3796
2020-11-27,40-49,1162,1111,2273
2020-11-27,30-39,639,902,1541
2020-11-27,20-29,331,779,1110
2020-11-27,5-19,94,157,251
2020-11-27,0-4,46,46,92
2020-11-28,80+,2180,2556,4736
2020-11-28,70-79,2872,2658,5530
2020-11-28,60-69,2810,2380,5190
2020-11-28,50-59,2045,1814,3859
2020-11-28,40-49,1173,1124,2297
2020-11-28,30-39,643,916,1559
2020-11-28,20-29,335,793,1128
2020-11-28,5-19,95,161,256
2020-11-28,0-4,46,48,94
2020-11-29,80+,2207,2594,4801
2020-11-29,70-79,2915,2689,5604
2020-11-29,60-69,2839,2416,5255
2020-11-29,50-59,2069,1833,3902
2020-11-29,40-49,1183,1131,2314
2020-11-29,30-39,652,926,1578
2020-11-29,20-29,339,801,1140
2020-11-29,5-19,96,163,259
2020-11-29,0-4,47,49,96
2020-11-30,80+,2245,2630,4875
2020-11-30,70-79,2976,2738,5714
2020-11-30,60-69,2899,2451,5350
2020-11-30,50-59,2082,1853,3935
2020-11-30,40-49,1200,1145,2345
2020-11-30,30-39,654,934,1588
2020-11-30,20-29,342,819,1161
2020-11-30,5-19,96,164,260
2020-11-30,0-4,48,50,98
2020-12-01,80+,2280,2673,4953
2020-12-01,70-79,3028,2782,5810
2020-12-01,60-69,2948,2490,5438
2020-12-01,50-59,2123,1881,4004
2020-12-01,40-49,1218,1159,2377
2020-12-01,30-39,661,945,1606
2020-12-01,20-29,343,836,1179
2020-12-01,5-19,98,166,264
2020-12-01,0-4,48,49,97
2020-12-03,80+,2361,2759,5120
2020-12-03,70-79,3137,2864,6001
2020-12-03,60-69,3059,2566,5625
2020-12-03,50-59,2174,1936,4110
2020-12-03,40-49,1252,1195,2447
2020-12-03,30-39,675,972,1647
2020-12-03,20-29,352,859,1211
2020-12-03,5-19,104,169,273
2020-12-03,0-4,49,50,99
2020-12-04,80+,2401,2809,5210
2020-12-04,70-79,3191,2907,6098
2020-12-04,60-69,3099,2615,5714
2020-12-04,50-59,2202,1965,4167
2020-12-04,40-49,1266,1208,2474
2020-12-04,30-39,683,988,1671
2020-12-04,20-29,357,882,1239
2020-12-04,5-19,107,173,280
2020-12-04,0-4,49,50,99
2020-12-05,80+,2470,2884,5354
2020-12-05,70-79,3287,2977,6264
2020-12-05,60-69,3168,2687,5855
2020-12-05,50-59,2250,2018,4268
2020-12-05,40-49,1288,1241,2529
2020-12-05,30-39,696,1007,1703
2020-12-05,20-29,366,910,1276
2020-12-05,5-19,108,177,285
2020-12-05,0-4,50,51,101
2020-12-07,80+,2499,2905,5404
2020-12-07,70-79,3344,3008,6352
2020-12-07,60-69,3197,2710,5907
2020-12-07,50-59,2272,2032,4304
2020-12-07,40-49,1301,1249,2550
2020-12-07,30-39,701,1013,1714
2020-12-07,20-29,369,918,1287
2020-12-07,5-19,108,178,286
2020-12-07,0-4,50,52,102
2020-12-08,80+,2566,2999,5565
2020-12-08,70-79,3424,3095,6519
2020-12-08,60-69,3290,2780,6070
2020-12-08,50-59,2315,2089,4404
2020-12-08,40-49,1324,1282,2606
2020-12-08,30-39,723,1047,1770
2020-12-08,20-29,382,942,1324
2020-12-08,5-19,107,183,290
2020-12-08,0-4,51,54,105
2020-12-10,80+,2592,3039,5631
2020-12-10,70-79,3455,3121,6576
2020-12-10,60-69,3340,2820,6160
2020-12-10,50-59,2337,2106,4443
2020-12-10,40-49,1340,1301,2641
2020-12-10,30-39,729,1056,1785
2020-12-10,20-29,389,955,1344
2020-12-10,5-19,107,187,294
2020-12-10,0-4,52,54,106
2020-12-12,80+,2638,3121,5759
2020-12-12,70-79,3556,3206,6762
2020-12-12,60-69,3432,2913,6345
2020-12-12,50-59,2397,2159,4556
2020-12-12,40-49,1357,1332,2689
2020-12-12,30-39,739,1082,1821
2020-12-12,20-29,396,1001,1397
2020-12-12,5-19,110,192,302
2020-12-12,0-4,53,55,108
2020-12-13,80+,2690,3174,5864
2020-12-13,70-79,3607,3265,6872
2020-12-13,60-69,3495,2958,6453
2020-12-13,50-59,2436,2194,4630
2020-12-13,40-49,1378,1347,2725
2020-12-13,30-39,756,1098,1854
2020-12-13,20-29,400,1016,1416
2020-12-13,5-19,111,196,307
2020-12-13,0-4,53,55,108
2020-12-15,80+,2717,3195,5912
2020-12-15,70-79,3651,3291,6942
2020-12-15,60-69,3523,2977,6500
2020-12-15,50-59,2468,2211,4679
2020-12-15,40-49,1393,1366,2759
2020-12-15,30-39,759,1103,1862
2020-12-15,20-29,400,1020,1420
2020-12-15,5-19,111,203,314
2020-12-15,0-4,54,55,109
2020-12-16,80+,2741,3219,5960
2020-12-16,70-79,3684,3321,7005
2020-12-16,60-69,3549,3014,6563
2020-12-16,50-59,2490,2229,4719
2020-12-16,40-49,1395,1373,2768
2020-12-16,30-39,765,1105,1870
2020-12-16,20-29,401,1030,1431
2020-12-16,5-19,111,204,315
2020-12-16,0-4,54,55,109
2020-12-17,80+,2771,3243,6014
2020-12-17,70-79,3703,3354,7057
2020-12-17,60-69,3579,3039,6618
2020-12-17,50-59,2508,2232,4740
2020-12-17,40-49,1403,1388,2791
2020-12-17,30-39,766,1113,1879
2020-12-17,20-29,403,1036,1439
2020-12-17,5-19,113,207,320
2020-12-17,0-4,54,54,108
2020-12-18,80+,2812,3286,6098
2020-12-18,70-79,3764,3399,7163
2020-12-18,60-69,3634,3085,6719
2020-12-18,50-59,2554,2259,4813
2020-12-18,40-49,1415,1400,2815
2020-12-18,30-39,779,1135,1914
2020-12-18,20-29,401,1044,1445
2020-12-18,5-19,114,208,322
2020-12-18,0-4,56,56,112
2020-12-20,80+,2833,3316,6149
2020-12-20,70-79,3794,3417,7211
2020-12-20,60-69,3662,3105,6767
2020-12-20,50-59,2566,2270,4836
2020-12-20,40-49,1424,1406,2830
2020-12-20,30-39,785,1143,1928
2020-12-20,20-29,404,1055,1459
2020-12-20,5-19,115,210,325
2020-12-20,0-4,56,57,113
2020-12-21,80+,2861,3333,6194
2020-12-21,70-79,3823,3445,7268
2020-12-21,60-69,3678,3128,6806
2020-12-21,50-59,2581,2287,4868
2020-12-21,40-49,1437,1416,2853
2020-12-21,30-39,788,1155,1943
2020-12-21,20-29,405,1058,1463
2020-12-21,5-19,115,210,325
2020-12-21,0-4,54,57,111
2020-12-23,80+,2913,3386,6299
2020-12-23,70-79,3882,3499,7381
2020-12-23,60-69,3728,3167,6895
2020-12-23,50-59,2617,2314,4931
2020-12-23,40-49,1453,1437,2890
2020-12-23,30-39,795,1178,1973
2020-12-23,20-29,413,1081,1494
2020-12-23,5-19,117,212,329
2020-12-23,0-4,57,58,115
2020-12-24,80+,2934,3414,6348
2020-12-24,70-79,3913,3529,7442
2020-12-24,60-69,3748,3201,6949
2020-12-24,50-59,2635,2327,4962
2020-12-24,40-49,1461,1443,2904
2020-12-24,30-39,804,1184,1988
2020-12-24,20-29,413,1090,1503
2020-12-24,5-19,117,212,329
2020-12-24,0-4,57,58,115
2020-12-25,80+,2975,3460,6435
2020-12-25,70-79,3957,3576,7533
2020-12-25,60-69,3793,3239,7032
2020-12-25,50-59,2656,2346,5002
2020-12-25,40-49,1467,1456,2923
2020-12-25,30-39,806,1199,2005
2020-12-25,20-29,420,1097,1517
2020-12-25,5-19,117,211,328
2020-12-25,0-4,58,61,119
2020-12-27,80+,2993,3483,6476
2020-12-27,70-79,3994,3603,7597
2020-12-27,60-69,3822,3268,7090
2020-12-27,50-59,2677,2357,5034
2020-12-27,40-49,1471,1466,2937
2020-12-27,30-39,811,1215,2026
2020-12-27,20-29,425,1108,1533
2020-12-27,5-19,117,210,327
2020-12-27,0-4,58,61,119
2020-12-28,80+,3009,3487,6496
2020-12-28,70-79,4013,3621,7634
2020-12-28,60-69,3844,3288,7132
2020-12-28,50-59,2695,2362,5057
2020-12-28,40-49,1474,1470,2944
2020-12-28,30-39,819,1226,2045
2020-12-28,20-29,426,1117,1543
2020-12-28,5-19,118,213,331
2020-12-28,0-4,58,62,120
2020-12-29,80+,3053,3543,6596
2020-12-29,70-79,4067,3678,7745
2020-12-29,60-69,3900,3338,7238
2020-12-29,50-59,2724,2383,5107
2020-12-29,40-49,1488,1487,2975
2020-12-29,30-39,825,1249,2074
2020-12-29,20-29,429,1135,1564
2020-12-29,5-19,119,216,335
2020-12-29,0-4,59,62,121
2020-12-30,80+,3072,3574,6646
2020-12-30,70-79,4102,3689,7791
2020-12-30,60-69,3933,3359,7292
2020-12-30,50-59,2740,2394,5134
2020-12-30,40-49,1502,1498,3000
2020-12-30,30-39,830,1252,2082
2020-12-30,20-29,430,1144,1574
2020-12-30,5-19,118,219,337
2020-12-30,0-4,59,62,121
2020-12-31,80+,3093,3597,6690
2020-12-31,70-79,4121,3714,7835
2020-12-31,60-69,3958,3380,7338
2020-12-31,50-59,2762,2406,5168
2020-12-31,40-49,1504,1501,3005
2020-12-31,30-39,830,1268,2098
2020-12-31,20-29,437,1150,1587
2020-12-31,5-19,119,220,339
2020-12-31,0-4,60,62,122
2021-01-03,80+,3134,3647,6781
2021-01-03,70-79,4178,3765,7943
2021-01-03,60-69,4004,3422,7426
2021-01-03,50-59,2783,2440,5223
2021-01-03,40-49,1517,1520,3037
2021-01-03,30-39,841,1279,2120
2021-01-03,20-29,444,1157,1601
2021-01-03,5-19,122,223,345
2021-01-03,0-4,64,63,127
2021-01-05,80+,3178,3687,6865
2021-01-05,70-79,4240,3811,8051
2021-01-05,60-69,4061,3473,7534
2021-01-05,50-59,2823,2474,5297
2021-01-05,40-49,1532,1529,3061
2021-01-05,30-39,848,1304,2152
2021-01-05,20-29,446,1173,1619
2021-01-05,5-19,124,227,351
2021-01-05,0-4,64,64,128
2021-01-06,80+,3206,3714,6920
2021-01-06,70-79,4260,3827,8087
2021-01-06,60-69,4074,3501,7575
2021-01-06,50-59,2831,2482,5313
2021-01-06,40-49,1536,1532,3068
2021-01-06,30-39,852,1311,2163
2021-01-06,20-29,449,1179,1628
2021-01-06,5-19,126,231,357
2021-01-06,0-4,65,65,130
2021-01-07,80+,3240,3766,7006
2021-01-07,70-79,4309,3878,8187
2021-01-07,60-69,4106,3553,7659
2021-01-07,50-59,2856,2511,5367
2021-01-07,40-49,1555,1552,3107
2021-01-07,30-39,864,1320,2184
2021-01-07,20-29,452,1204,1656
2021-01-07,5-19,124,231,355
2021-01-07,0-4,67,66,133
2021-01-09,80+,3260,3780,7040
2021-01-09,70-79,4323,3909,8232
2021-01-09,60-69,4131,3564,7695
2021-01-09,50-59,2868,2528,5396
2021-01-09,40-49,1560,1561,3121
2021-01-09,30-39,867,1326,2193
2021-01-09,20-29,455,1209,1664
2021-01-09,5-19,125,231,356
2021-01-09,0-4,68,66,134
2021-01-11,80+,3292,3815,7107
2021-01-11,70-79,4360,3953,8313
2021-01-11,60-69,4161,3606,7767
2021-01-11,50-59,2889,2548,5437
2021-01-11,40-49,1571,1574,3145
2021-01-11,30-39,873,1335,2208
2021-01-11,20-29,459,1215,1674
2021-01-11,5-19,126,233,359
2021-01-11,0-4,67,67,134
2021-01-13,80+,3314,3864,7178
2021-01-13,70-79,4416,3996,8412
2021-01-13,60-69,4217,3629,7846
2021-01-13,50-59,2917,2553,5470
2021-01-13,40-49,1587,1589,3176
2021-01-13,30-39,883,1352,2235
2021-01-13,20-29,468,1225,1693
2021-01-13,5-19,125,233,358
2021-01-13,0-4,69,68,137
2021-01-14,80+,3338,3883,7221
2021-01-14,70-79,4435,4000,8435
2021-01-14,60-69,4231,3644,7875
2021-01-14,50-59,2931,2571,5502
2021-01-14,40-49,1592,1600,3192
2021-01-14,30-39,888,1357,2245
2021-01-14,20-29,468,1232,1700
2021-01-14,5-19,127,235,362
2021-01-14,0-4,70,69,139
2021-01-16,80+,3371,3922,7293
2021-01-16,70-79,4500,4043,8543
2021-01-16,60-69,4282,3667,7949
2021-01-16,50-59,2952,2597,5549
2021-01-16,40-49,1605,1607,3212
2021-01-16,30-39,905,1365,2270
2021-01-16,20-29,473,1252,1725
2021-01-16,5-19,127,238,365
2021-01-16,0-4,72,71,143
2021-01-17,80+,3380,3935,7315
2021-01-17,70-79,4514,4059,8573
2021-01-17,60-69,4293,3687,7980
2021-01-17,50-59,2967,2596,5563
2021-01-17,40-49,1610,1613,3223
2021-01-17,30-39,908,1368,2276
2021-01-17,20-29,475,1262,1737
2021-01-17,5-19,128,240,368
2021-01-17,0-4,73,71,144
2021-01-18,80+,3393,3951,7344
2021-01-18,70-79,4531,4069,8600
2021-01-18,60-69,4313,3695,8008
2021-01-18,50-59,2977,2605,5582
2021-01-18,40-49,1618,1618,3236
2021-01-18,30-39,914,1372,2286
2021-01-18,20-29,477,1268,1745
2021-01-18,5-19,130,243,373
2021-01-18,0-4,71,72,143
2021-01-19,80+,3426,3976,7402
2021-01-19,70-79,4565,4105,8670
2021-01-19,60-69,4349,3726,8075
2021-01-19,50-59,3000,2626,5626
2021-01-19,40-49,1630,1626,3256
2021-01-19,30-39,921,1386,2307
2021-01-19,20-29,475,1274,1749
2021-01-19,5-19,133,245,378
2021-01-19,0-4,74,71,145
2021-01-21,80+,3445,3999,7444
2021-01-21,70-79,4580,4127,8707
2021-01-21,60-69,4361,3745,8106
2021-01-21,50-59,3009,2633,5642
2021-01-21,40-49,1637,1632,3269
2021-01-21,30-39,925,1394,2319
2021-01-21,20-29,477,1281,1758
2021-01-21,5-19,134,249,383
2021-01-21,0-4,74,71,145
2021-01-22,80+,3466,4015,7481
2021-01-22,70-79,4597,4151,8748
2021-01-22,60-69,4387,3759,8146
2021-01-22,50-59,3026,2644,5670
2021-01-22,40-49,1648,1638,3286
2021-01-22,30-39,926,1401,2327
2021-01-22,20-29,476,1288,1764
2021-01-22,5-19,135,250,385
2021-01-22,0-4,74,73,147
2021-01-23,80+,3480,4034,7514
2021-01-23,70-79,4613,4171,8784
2021-01-23,60-69,4410,3763,8173
2021-01-23,50-59,3041,2655,5696
2021-01-23,40-49,1654,1643,3297
2021-01-23,30-39,933,1405,2338
2021-01-23,20-29,476,1292,1768
2021-01-23,5-19,135,249,384
2021-01-23,0-4,73,72,145
2021-01-24,80+,3488,4046,7534
2021-01-24,70-79,4623,4181,8804
2021-01-24,60-69,4421,3776,8197
2021-01-24,50-59,3049,2660,5709
2021-01-24,40-49,1661,1648,3309
2021-01-24,30-39,933,1408,2341
2021-01-24,20-29,477,1294,1771
2021-01-24,5-19,138,251,389
2021-01-24,0-4,74,73,147
2021-01-25,80+,3494,4060,7554
2021-01-25,70-79,4636,4196,8832
2021-01-25,60-69,4428,3785,8213
2021-01-25,50-59,3063,2664,5727
2021-01-25,40-49,1660,1651,3311
2021-01-25,30-39,933,1412,2345
2021-01-25,20-29,479,1300,1779
2021-01-25,5-19,137,253,390
2021-01-25,0-4,75,73,148
2021-01-26,80+,3505,4074,7579
2021-01-26,70-79,4659,4208,8867
2021-01-26,60-69,4446,3807,8253
2021-01-26,50-59,3070,2667,5737
2021-01-26,40-49,1668,1654,3322
2021-01-26,30-39,936,1417,2353
2021-01-26,20-29,480,1307,1787
2021-01-26,5-19,135,255,390
2021-01-26,0-4,75,75,150
2021-01-27,80+,3515,4087,7602
2021-01-27,70-79,4676,4222,8898
2021-01-27,60-69,4459,3821,8280
2021-01-27,50-59,3079,2676,5755
2021-01-27,40-49,1673,1660,3333
2021-01-27,30-39,941,1422,2363
2021-01-27,20-29,483,1310,1793
2021-01-27,5-19,135,256,391
2021-01-27,0-4,75,75,150
2021-01-28,80+,3530,4100,7630
2021-01-28,70-79,4687,4230,8917
2021-01-28,60-69,4470,3838,8308
2021-01-28,50-59,3083,2683,5766
2021-01-28,40-49,1679,1662,3341
2021-01-28,30-39,945,1428,2373
2021-01-28,20-29,484,1317,1801
2021-01-28,5-19,135,259,394
2021-01-28,0-4,76,73,149
2021-01-30,80+,3550,4127,7677
2021-01-30,70-79,4715,4254,8969
2021-01-30,60-69,4490,3857,8347
2021-01-30,50-59,3100,2700,5800
2021-01-30,40-49,1694,1670,3364
2021-01-30,30-39,946,1444,2390
2021-01-30,20-29,485,1325,1810
2021-01-30,5-19,137,263,400
2021-01-30,0-4,78,73,151
2021-01-31,80+,3552,4134,7686
2021-01-31,70-79,4729,4262,8991
2021-01-31,60-69,4504,3870,8374
2021-01-31,50-59,3106,2704,5810
2021-01-31,40-49,1695,1672,3367
2021-01-31,30-39,950,1440,2390
2021-01-31,20-29,486,1327,1813
2021-01-31,5-19,137,263,400
2021-01-31,0-4,79,73,152
2021-02-02,80+,3573,4162,7735
2021-02-02,70-79,4759,4282,9041
2021-02-02,60-69,4524,3893,8417
2021-02-02,50-59,3122,2713,5835
2021-02-02,40-49,1703,1686,3389
2021-02-02,30-39,955,1443,2398
2021-02-02,20-29,486,1334,1820
2021-02-02,5-19,138,262,400
2021-02-02,0-4,79,74,153
2021-02-03,80+,3584,4169,7753
2021-02-03,70-79,4770,4296,9066
2021-02-03,60-69,4534,3903,8437
2021-02-03,50-59,3127,2714,5841
2021-02-03,40-49,1709,1688,3397
2021-02-03,30-39,956,1450,2406
2021-02-03,20-29,488,1343,1831
2021-02-03,5-19,139,262,401
2021-02-03,0-4,79,73,152
2021-02-04,80+,3589,4178,7767
2021-02-04,70-79,4782,4303,9085
2021-02-04,60-69,4549,3907,8456
2021-02-04,50-59,3136,2722,5858
2021-02-04,40-49,1712,1695,3407
2021-02-04,30-39,959,1453,2412
2021-02-04,20-29,489,1352,1841
2021-02-04,5-19,139,264,403
2021-02-04,0-4,79,73,152
2021-02-05,80+,3598,4188,7786
2021-02-05,70-79,4795,4318,9113
2021-02-05,60-69,4563,3922,8485
2021-02-05,50-59,3139,2728,5867
2021-02-05,40-49,1715,1702,3417
2021-02-05,30-39,958,1456,2414
2021-02-05,20-29,488,1354,1842
2021-02-05,5-19,140,266,406
2021-02-05,0-4,79,73,152
2021-02-06,80+,3606,4194,7800
2021-02-06,70-79,4798,4323,9121
2021-02-06,60-69,4575,3931,8506
2021-02-06,50-59,3145,2733,5878
2021-02-06,40-49,1720,1707,3427
2021-02-06,30-39,962,1459,2421
2021-02-06,20-29,489,1358,1847
2021-02-06,5-19,142,264,406
2021-02-06,0-4,79,74,153
2021-02-07,80+,3612,4201,7813
2021-02-07,70-79,4805,4330,9135
2021-02-07,60-69,4581,3933,8514
2021-02-07,50-59,3155,2737,5892
2021-02-07,40-49,1720,1709,3429
2021-02-07,30-39,963,1464,2427
2021-02-07,20-29,493,1358,1851
2021-02-07,5-19,142,264,406
2021-02-07,0-4,79,74,153
2021-02-08,80+,3623,4221,7844
2021-02-08,70-79,4834,4344,9178
2021-02-08,60-69,4593,3952,8545
2021-02-08,50-59,3164,2748,5912
2021-02-08,40-49,1727,1719,3446
2021-02-08,30-39,962,1468,2430
2021-02-08,20-29,492,1373,1865
2021-02-08,5-19,145,266,411
2021-02-08,0-4,79,74,153
2021-02-10,80+,3635,4229,7864
2021-02-10,70-79,4843,4352,9195
2021-02-10,60-69,4597,3960,8557
2021-02-10,50-59,3167,2753,5920
2021-02-10,40-49,1728,1728,3456
2021-02-10,30-39,965,1473,2438
2021-02-10,20-29,492,1377,1869
2021-02-10,5-19,144,266,410
2021-02-10,0-4,79,74,153
2021-02-11,80+,3640,4237,7877
2021-02-11,70-79,4847,4364,9211
2021-02-11,60-69,4605,3962,8567
2021-02-11,50-59,3176,2759,5935
2021-02-11,40-49,1732,1730,3462
2021-02-11,30-39,967,1481,2448
2021-02-11,20-29,492,1381,1873
2021-02-11,5-19,145,268,413
2021-02-11,0-4,79,74,153
2021-02-12,80+,3649,4241,7890
2021-02-12,70-79,4862,4368,9230
2021-02-12,60-69,4613,3968,8581
2021-02-12,50-59,3180,2766,5946
2021-02-12,40-49,1731,1738,3469
2021-02-12,30-39,966,1486,2452
2021-02-12,20-29,492,1381,1873
2021-02-12,5-19,146,268,414
2021-02-12,0-4,79,74,153
2021-02-13,80+,3657,4248,7905
2021-02-13,70-79,4864,4366,9230
2021-02-13,60-69,4622,3977,8599
2021-02-13,50-59,3185,2767,5952
2021-02-13,40-49,1732,1737,3469
2021-02-13,30-39,967,1487,2454
2021-02-13,20-29,495,1389,1884
2021-02-13,5-19,148,266,414
2021-02-13,0-4,80,76,156
2021-02-15,80+,3660,4262,7922
2021-02-15,70-79,4885,4377,9262
2021-02-15,60-69,4632,3987,8619
2021-02-15,50-59,3195,2775,5970
2021-02-15,40-49,1741,1738,3479
2021-02-15,30-39,970,1491,2461
2021-02-15,20-29,501,1391,1892
2021-02-15,5-19,147,267,414
2021-02-15,0-4,80,77,157
2021-02-16,80+,3675,4281,7956
2021-02-16,70-79,4901,4390,9291
2021-02-16,60-69,4660,4007,8667
2021-02-16,50-59,3202,2788,5990
2021-02-16,40-49,1752,1752,3504
2021-02-16,30-39,974,1502,2476
2021-02-16,20-29,501,1412,1913
2021-02-16,5-19,149,271,420
2021-02-16,0-4,80,76,156
2021-02-17,80+,3695,4308,8003
2021-02-17,70-79,4928,4411,9339
2021-02-17,60-69,4684,4026,8710
2021-02-17,50-59,3221,2811,6032
2021-02-17,40-49,1768,1766,3534
2021-02-17,30-39,983,1522,2505
2021-02-17,20-29,510,1428,1938
